cntry,term,term_label,n,populist,non_populist,psu_count,kish_effective_n,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,ame,ame_std_error,ame_low,ame_high,evidence_category,fdr_q_value
GR,distrust_index_three,Representative-political-institution distrust,1703,568,1135,195,1104.4625142728787,0.16891241650890293,0.03159222629584681,0.10660409430361668,0.2312207387141892,5.346644928632603,2.50370088130549e-07,194.0,1.184016434089806,1.11249372467816,1.2601373698537515,0.035643519637602226,0.006435063543897304,0.02295185273987064,0.048335186535333814,positive_interval_above_zero,6.398346696669586e-07
GR,viepol,People's views should prevail,1703,568,1135,195,1104.4625142728787,0.00821677079935564,0.04345681777167378,-0.0774916999610549,0.09392524155976617,0.18907898048419766,0.8502285782010932,194.0,1.0082506211104376,0.925434705508857,1.0984776223738175,0.0017338845621752898,0.009172648897277919,-0.016357033045701276,0.019824802170051857,positive_interval_includes_zero,0.8888753317556883
HR,distrust_index_three,Representative-political-institution distrust,652,96,556,469,618.594501084735,0.19257808186527314,0.07130288188892374,0.052464649585409945,0.3326915141451363,2.7008456988494935,0.007167191984517635,468.0,1.2123711642136665,1.0538653068445283,1.3947169816395146,0.0229033920505714,0.008292174152197048,0.006608889630085428,0.03919789447105737,positive_interval_above_zero,0.009696789155523858
HR,viepol,People's views should prevail,652,96,556,469,618.594501084735,0.06668556082552571,0.06248134981671104,-0.05609315644898763,0.18946427810003905,1.06728745491491,0.2863922922140537,468.0,1.068959302643322,0.9454510569247434,1.2086019496603646,0.007930941719358032,0.00743510902824035,-0.006679388434542544,0.022541271873258606,positive_interval_includes_zero,0.5489185600769363
HU,distrust_index_three,Representative-political-institution distrust,1003,672,331,673,815.627823390354,-0.39415948247356036,0.04048343331647836,-0.47364872033643934,-0.3146702446106814,-9.73631557857821,4.800267470998378e-21,672.0,0.6742465171630265,0.6227259651183193,0.7300295657658898,-0.0714121242003363,0.005985111581065565,-0.08316389323593197,-0.05966035516474062,negative_interval_below_zero,2.760153795824067e-20
HU,viepol,People's views should prevail,1003,672,331,673,815.627823390354,0.017240837244205554,0.0451181387164266,-0.07134864656572111,0.10583032105413222,0.38212651795249064,0.702488335539514,672.0,1.01739031830252,0.9311371977428818,1.1116332397468283,0.0031236209335229635,0.008181966090739928,-0.012941672829694169,0.019188914696740098,positive_interval_includes_zero,0.8888753317556883
IE,distrust_index_three,Representative-political-institution distrust,1041,283,758,470,652.6056117885696,0.3208875608451657,0.04527028794758458,0.23192986107626148,0.4098452606140699,7.088259770220587,5.0185634778147425e-12,469.0,1.3783505916048995,1.261031278349791,1.5065846390929778,0.054301537878390656,0.006659343043787879,0.04121569579509481,0.06738737996168649,positive_interval_above_zero,2.3085391997947817e-11
IE,viepol,People's views should prevail,1041,283,758,470,652.6056117885696,0.045260335235986014,0.049247673799712274,-0.051513066896206126,0.14203373736817815,0.9190349867093711,0.3585496851973624,469.0,1.0463002132685242,0.9497912390575755,1.1526155340956947,0.007659087194693232,0.008285404554924082,-0.008622022651884925,0.02394019704127139,positive_interval_includes_zero,0.6078228184393666
IS,distrust_index_three,Representative-political-institution distrust,589,62,527,487,509.7149952169114,0.3843402362286221,0.07455698367006808,0.23784641205438461,0.5308340604028596,5.154986391743216,3.6970748771870103e-07,486.0,1.4686450429365399,1.268514349349589,1.7003499118855039,0.030349050570397152,0.005717847024062536,0.0191142978300649,0.0415838033107294,positive_interval_above_zero,8.503272217530123e-07
IS,viepol,People's views should prevail,589,62,527,487,509.7149952169114,0.013087331144701501,0.059763587389090725,-0.1043395822312744,0.13051424452067742,0.21898503280093373,0.8267536399262502,486.0,1.0131733450843297,0.9009193092808337,1.1394141701866713,0.0010334282942622093,0.004710993384097966,-0.008223000849250825,0.010289857437775244,positive_interval_includes_zero,0.8888753317556883
IT,distrust_index_three,Representative-political-institution distrust,1021,545,476,298,890.9983147472658,0.1862790819953078,0.043357749795435024,0.10095174470050766,0.2716064192901079,4.296327251164691,2.3558066229346935e-05,297.0,1.2047584398538864,1.1062232593407566,1.3120704940376542,0.04285664851713982,0.009438215545529163,0.02428239581458873,0.061430901219690914,positive_interval_above_zero,4.167965563653689e-05
