model,model_label,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,term_type
M2,H2a adjusted,"C(eisced_model, Treatment(reference=4))[T.5.0]",0.18019661458683767,0.10285155452469247,-0.03310445433398446,0.3934976835076598,1.7520067189998212,0.09370194680177249,22.0,1.1974527766611247,0.9674375012712674,1.4821558503254433,control
M2,H2a adjusted,"C(eisced_model, Treatment(reference=4))[T.6.0]",-0.22936249557439986,0.1336409082126977,-0.5065167758869475,0.04779178473814777,-1.7162596291949423,0.10016442268214498,22.0,0.7950402826794851,0.6025908865869446,1.048952224722826,control
M2,H2a adjusted,"C(eisced_model, Treatment(reference=4))[T.7.0]",-0.5801940904405324,0.12253497041477318,-0.834316065460147,-0.32607211542091774,-4.734926596681844,0.0001002920062363124,22.0,0.5597897061900932,0.43417132467590597,0.7217531360236807,control
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.AT]",0.3933422482737278,0.04595277258338499,0.2980420308175272,0.4886424657299284,8.559706545670924,1.8868073684581975e-08,22.0,1.4819254889877225,1.3472184113807977,1.6301017981640107,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.BE]",0.6315499029300554,0.04016707470793553,0.548248488476779,0.7148513173833319,15.723074371788508,1.897872142631551e-13,22.0,1.8805229497654268,1.73021986231282,2.043882769827488,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.BG]",3.3320919276631207,0.1537932370786988,3.0131442752598283,3.651039580066413,21.666049762370427,2.4864927217473474e-16,22.0,27.99684786710252,20.351289485457055,38.51468434242458,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.CH]",1.9450693163012633,0.23421864725334962,1.4593295717616284,2.430809060840898,8.304502391721702,3.1575872051455825e-08,22.0,6.994116644527271,4.30307365897637,11.368075825336927,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.CZ]",2.407206167936361,0.07168426978495286,2.2585420914369814,2.555870244435741,33.58067502337388,2.1380464119429412e-20,22.0,11.102898140037814,9.569128078475918,12.882505709724928,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.EE]",1.1536500250102182,0.07663593510580377,0.9947168231606511,1.3125832268597852,15.053643221257573,4.571693533637683e-13,22.0,3.1697414562175927,2.7039585344236787,3.715759976106992,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.ES]",1.2290382181489612,0.15696775593537815,0.9035070165852482,1.5545694197126743,7.829876975848099,8.418789168197387e-08,22.0,3.417940641666537,2.468244123290904,4.733048129120977,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.FI]",1.396300234214619,0.20448699806059684,0.9722201562002044,1.8203803122290334,6.828308144074985,7.359169758344022e-07,22.0,4.040224396887599,2.643807614252897,6.174206129525249,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.FR]",1.5698972040153043,0.03246349632606962,1.5025720332946673,1.6372223747359413,48.35884552443009,7.782266860278637e-24,22.0,4.806154115036104,4.493230960543459,5.1408702513446185,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.GR]",2.1080017881343505,0.05417560788271883,1.9956484540090509,2.22035512225965,38.91053318123949,8.808852907920034e-22,22.0,8.231776007056101,7.356972139527254,9.210601174670042,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.HR]",0.834159661438285,0.1278632612940158,0.5689874874662505,1.0993318354103194,6.523841586678855,1.4600077682649886e-06,22.0,2.3028780377307467,1.7664775649727567,3.0021594170342056,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.HU]",3.6332926151628913,0.14395563564312838,3.334746899429603,3.9318383308961797,25.238974486347757,9.804216391040903e-18,22.0,37.83719506181839,28.0712774682646,51.00064761087628,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.IE]",2.1012409085011545,0.07161410475710869,1.9527223453633293,2.24975947163898,29.34116003583187,3.9121568154934537e-19,22.0,8.17630967218984,7.047848164664691,9.485454041237237,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.IS]",0.6504335429055396,0.11745626828643499,0.40684415144979236,0.8940229343612868,5.537665655436612,1.4483598767241511e-05,22.0,1.9163714781986063,1.5020699919887242,2.4449457495591056,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.IT]",2.8989066469064437,0.042955824504477665,2.8098217193569957,2.987991574455892,67.48576427870137,5.342134341600566e-27,22.0,18.154285470300135,16.606957255835436,19.84578365921558,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.LV]",-0.012167054154799203,0.15028577297915124,-0.32384067122539945,0.2995065629158011,-0.08095945420254189,0.9362062041688994,22.0,0.9879066651633931,0.7233654861352697,1.3491929014868034,country fixed effect
M2,H2a adjusted,"C(cntry, Treatment(reference='DE'))[T.NL]",1.0423076744473598,0.15495013683579767,0.7209607587955555,1.3636545900991641,6.726729615940285,9.23682390198077e-07,22.0,2.835753465261238,2.0564079739045797,3.9104583418203847,country fixed effect
